"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B08H6KGPX3","B08H6KGPX3","Health & Her Perimenopause Multi-Nutrient Support, Support for Wellbeing During Pre-Menopause (Early Stage of Menopause) Perimenopause Supplements for Women, Perimenopause Vitamins, Vegan (60 ct.)","Health and Her","FBA","Health & Household",29836,"Menopause Products",27.99,-47,748,747,-13,21398.06,21390.59,315,4,"Health and Her USA",1,4575,-39,"Large Standard-Size",2.24,2.32,4.09,0.37,10.7,29.52,"01/31/2023",26,10,0,2.37
"https://amazon.com/dp/B09NYMYYBD","B09NYMYYBD","Charity Leaf Disposable Palm Leaf 17"" x 12"" Trays (10 pieces) Bamboo Like Serving Platters, Disposable Boards, Eco-Friendly Dinnerware For Weddings, Catering, Events","Charity Leaf","FBA","Health & Household",39562,"Plates",29.9,-6,645,592,49,21413.5,17722.46,167,4.2,"Charity Leaf",1,5555,-10,"Large Standard-Size",2.52,12.28,16.97,2.37,264.42,729.42,"10/31/2023",32,8,3,3.86
"https://amazon.com/dp/B09QQTQ3BK","B09QQTQ3BK","Megababe Daily Deodorant - Rosy Pits | Aluminum-Free, Clear & Clean | 2.6 oz - 2 Pack","Megababe","FBA","Beauty & Personal Care",11438,"Deodorant",27.94,-7,2275,292,-3,35685.63,8160.73,207,4.2,"MEGABABE",1,27517,"N/A","Large Standard-Size",2.01,7.44,8.62,0.66,64.9,179.04,"09/30/2023",34,7,2,10.99
"https://amazon.com/dp/B09NR8H36T","B09NR8H36T","King Mattress Bag for Moving Storage, 5 Mil Heavy Duty Mattress Cover, Thick and Tear Resistant (King)","N/A","FBA","Home & Kitchen",46685,"Mattress Protectors",29.99,-6,1203,266,-35,34611.36,8001.23,340,4,"VacPack Online",1,0,"N/A","Large Standard-Size",2.55,13.14,13.22,3.18,223.02,615.23,"06/30/2024",35,7,3,3.54
"https://amazon.com/dp/B08YVL7MD1","B08YVL7MD1","NUXE Aluminum Free Antiperspirant Deodorant Rêve de Thé. Natural 24-Hour Odor & Sweat Protection for Women, 1.6 Fl Oz","Nuxe","FBA","Beauty & Personal Care",15767,"Deodorant",14.5,-2,1509,1509,-11,21885.56,21885.56,431,4.1,"Nuxe",1,12459,163,"Large Standard-Size",1.57,1.61,3.62,0.18,4.64,12.79,"07/31/2024",33,6,0,3.5
"https://amazon.com/dp/B09WTTGRY7","B09WTTGRY7","NAOMI BP Advanced, Potent Ingredients for Blood Flow and Circulation, Endothelial Function, Supports Cardiovascular and Arterial Health, 1000mg Olive Leaf Extract, 180mcg Vitamin K2 (Small, 60 Count)","NAOMI","FBA","Health & Household",46540,"Olive Leaf",34.99,16,494,450,,20449.87,15754.21,435,4.1,"Outside Meets Inside",1,7393,"N/A","Large Standard-Size",1.73,1.81,4.09,0.15,6.45,17.79,"08/31/2023",32,6,2,1.14
"https://amazon.com/dp/B0B4PGQXZR","B0B4PGQXZR","Christmas Tree Topper with Lights,Gnome Tree Topper Lighted Christmas Tree Topper 24 Inch Gnomes Christmas Tree Decorations, Christmas Home Decor-Red","VAIZIQ","FBA","Home & Kitchen",11625,"Tree Toppers",14.99,36,1660,1282,,27334.1,21278.08,253,4,"Meizihuazhuangpin",1,2685,13,"Large Standard-Size",4.37,5.87,6.3,0.29,81.36,224.45,"10/31/2023",29,6,2,6.56
"https://amazon.com/dp/B0B6SYZSNC","B0B6SYZSNC","Neem Oil Spray Kit for Plants, Makes Five 16 fl oz - 100% Pure Cold Pressed Neem Spray for Indoor and Outdoor Garden Plants | The Green Alcove","The Green Alcove","FBA","Patio, Lawn & Garden",21609,"Fertilizers & Plant Food",18.97,1,525,525,-64,10233.79,10233.79,266,4.2,"The Green Alcove",1,7839,57,"Large Standard-Size",2.99,4.37,8.62,0.29,56.71,156.43,"07/31/2024",28,5,0,1.97
"https://amazon.com/dp/B0B8FWMSPK","B0B8FWMSPK","NeuroGum Calm & Clarity Mints (90 Pieces) - Sugar Free with L-theanine + GABA + Vitamin D3 - Nootropic Brain Supplements for Memory - Enhances Calm, Stress Relief for Men & Women - Honey Lemon","NeuroGum","FBA","Health & Household",47054,"Sleep Supplements",30.99,-17,837,662,575,30105.65,20522.56,111,4,"NeuroGum",2,0,"N/A","Large Standard-Size",1.3,4.13,7.01,0.28,18.95,52.27,"10/31/2024",52,4,2,7.54
"https://amazon.com/dp/B09X258K7G","B09X258K7G","Anabolic Booster & Muscle Builder for Men, Total GAINS Muscle Growth & Estrogen Blocker for Men, Ashwagandha Shilajit for Men, Fadogia Agrestis Tongkat Ali for Men, HGH Supplements for Men, 120 Count","Revolution Science","FBA","Health & Household",53876,"Testosterone Boosters",29.99,-7,492,492,2,14734.33,14734.33,384,4.1,"Revolution Science",1,5161,"N/A","Large Standard-Size",2.52,2.52,5,0.31,15.99,44.1,"04/30/2023",29,10,0,1.28
